url_length,count_dots,count_hyphens,count_at,count_question,is_https,keyword_count
60,2,2,0,0,1,0
21,2,0,0,0,1,0
52,2,1,0,0,1,0
29,1,1,0,0,1,0
35,1,1,0,0,1,0
35,2,1,0,0,0,0
48,2,1,0,0,1,0
26,2,0,0,0,1,0
34,1,1,0,0,1,0
40,1,1,0,0,1,0
34,2,1,0,0,0,0
31,1,1,0,0,1,0
37,1,1,0,0,1,0
60,4,1,1,0,1,0
65,3,0,0,0,1,0
64,2,2,0,0,1,0
65,2,2,0,0,1,0
29,1,1,0,0,1,0
38,2,1,0,0,1,0
92,5,8,0,0,1,0
84,4,8,0,0,1,0
95,4,8,0,1,1,0
37,1,1,0,0,1,0
38,2,1,0,0,1,0
41,2,1,0,0,0,0
38,2,1,0,0,0,0
55,3,3,0,0,1,0
47,3,3,0,0,1,0
42,2,1,0,0,0,0
42,2,1,0,0,0,0
