url_length,digit_ratio,entropy,count_dots,count_hyphens,count_at,is_https,suspicious_tld,keyword_count
49,0.0,4.351968966953428,1,0,0,1,0,0
23,0.043478260869565216,3.7622673906514943,1,0,0,1,0,0
41,0.0,3.8508584067932707,3,0,0,1,0,0
98,0.12244897959183673,5.268654711480156,1,3,0,1,0,0
54,0.0,4.409902493217345,2,2,0,1,0,0
83,0.0963855421686747,4.833914094018794,3,0,0,1,0,0
424,0.12735849056603774,5.8988055229369465,3,0,0,1,0,0
82,0.08536585365853659,4.724776743041594,3,0,0,0,0,0
83,0.08433734939759036,4.72874474518505,3,0,0,1,0,0
83,0.07228915662650602,4.763921667336183,3,0,0,1,0,0
296,0.2702702702702703,5.777333742453137,3,0,0,1,0,0
28,0.35714285714285715,4.280394654123196,2,0,0,0,0,0
28,0.35714285714285715,4.1550455468258045,2,0,0,0,0,0
28,0.35714285714285715,4.280394654123195,2,0,0,0,0,0
28,0.35714285714285715,4.208966082694624,2,0,0,0,0,0
26,0.3076923076923077,3.8731406795131327,2,0,0,0,0,0
30,0.0,3.73624341298306,2,0,0,0,0,0
31,0.0,3.7166308917868665,2,0,0,1,0,0
39,0.0,4.29168715470421,2,1,0,0,0,0
40,0.0,4.28418371977919,2,1,0,1,0,0
25,0.04,3.943465189601648,2,1,0,0,0,0
83,0.14457831325301204,4.873011834956583,3,0,0,1,0,0
83,0.060240963855421686,4.722527196454497,3,0,0,1,0,0
83,0.0963855421686747,4.667031980830564,3,0,0,1,0,0
59,0.0,4.084115355489727,2,3,0,0,0,0
82,0.0975609756097561,4.688234518378794,3,0,0,0,0,0
83,0.0963855421686747,4.678844631328709,3,0,0,1,0,0
82,0.10975609756097561,4.778002693975744,3,0,0,0,0,0
83,0.10843373493975904,4.781329419601922,3,0,0,1,0,0
27,0.0,3.661932872373583,1,1,0,1,0,0
28,0.0,3.6375375112660526,1,1,0,1,0,0
31,0.0,3.8213119401041737,2,0,0,1,0,0
84,0.11904761904761904,5.204834018470969,2,2,0,1,0,0
84,0.13095238095238096,5.051801244991525,2,0,0,1,0,0
84,0.10714285714285714,5.206022893115134,2,1,0,1,0,0
84,0.15476190476190477,5.1685794761183885,2,1,0,1,0,0
84,0.10714285714285714,5.255603810214903,2,1,0,1,0,0
84,0.07142857142857142,5.052990119635689,2,1,0,1,0,0
84,0.10714285714285714,5.186552988074661,2,0,0,1,0,0
84,0.11904761904761904,5.277451464543706,2,0,0,1,0,0
84,0.11904761904761904,5.338396886909941,2,0,0,1,0,0
84,0.08333333333333333,5.206022893115135,2,0,0,1,0,0
84,0.047619047619047616,5.0612038807772715,2,1,0,1,0,0
84,0.08333333333333333,5.257981559503232,2,1,0,1,0,0
84,0.08333333333333333,4.96239916160668,2,2,0,1,0,0
84,0.07142857142857142,5.090433536632435,2,1,0,1,0,0
84,0.09523809523809523,5.131443577561678,2,0,0,1,0,0
84,0.08333333333333333,5.082635655298464,2,1,0,1,0,0
84,0.09523809523809523,5.320423374953668,2,1,0,1,0,0
84,0.05952380952380952,5.142392203020535,2,2,0,1,0,0
84,0.08333333333333333,5.174415487971639,2,2,0,1,0,0
84,0.05952380952380952,5.11512441664609,2,0,0,1,0,0
84,0.16666666666666666,5.091622411276601,2,0,0,1,0,0
84,0.11904761904761904,5.1642398573493375,2,0,0,1,0,0
84,0.08333333333333333,5.144769952308864,2,2,0,1,0,0
84,0.07142857142857142,5.200494399701918,2,1,0,1,0,0
84,0.05952380952380952,5.2072117677593,2,2,0,1,0,0
84,0.08333333333333333,5.18221336930561,2,0,0,1,0,0
84,0.09523809523809523,5.272804327334621,2,0,0,1,0,0
84,0.11904761904761904,5.075112626182401,2,1,0,1,0,0
84,0.03571428571428571,5.115431935086125,2,1,0,1,0,0
84,0.07142857142857142,5.101798041898903,2,1,0,1,0,0
84,0.11904761904761904,5.079759763391487,2,0,0,1,0,0
